"Country ",Country Code,Indicator Name,Indicator Code,Year,Departure_Charge
Angola,AGO,"International tourism, number of departures",ST.INT.DPRT,1995,3000
Angola,AGO,"International tourism, number of departures",ST.INT.DPRT,1996,3000
Albania,ALB,"International tourism, number of departures",ST.INT.DPRT,2001,955000
Albania,ALB,"International tourism, number of departures",ST.INT.DPRT,2002,1303000
Albania,ALB,"International tourism, number of departures",ST.INT.DPRT,2003,1350000
Albania,ALB,"International tourism, number of departures",ST.INT.DPRT,2004,1694000
Albania,ALB,"International tourism, number of departures",ST.INT.DPRT,2005,2097000
Albania,ALB,"International tourism, number of departures",ST.INT.DPRT,2006,2616000
Albania,ALB,"International tourism, number of departures",ST.INT.DPRT,2007,2979000
Albania,ALB,"International tourism, number of departures",ST.INT.DPRT,2008,3716000
Albania,ALB,"International tourism, number of departures",ST.INT.DPRT,2009,3404000
Albania,ALB,"International tourism, number of departures",ST.INT.DPRT,2010,3443000
Albania,ALB,"International tourism, number of departures",ST.INT.DPRT,2011,4120000
Albania,ALB,"International tourism, number of departures",ST.INT.DPRT,2012,3959000
Albania,ALB,"International tourism, number of departures",ST.INT.DPRT,2013,3928000
Albania,ALB,"International tourism, number of departures",ST.INT.DPRT,2014,4146000
Albania,ALB,"International tourism, number of departures",ST.INT.DPRT,2015,4504000
Albania,ALB,"International tourism, number of departures",ST.INT.DPRT,2016,4852000
Albania,ALB,"International tourism, number of departures",ST.INT.DPRT,2017,5186000
Albania,ALB,"International tourism, number of departures",ST.INT.DPRT,2018,5415000
Albania,ALB,"International tourism, number of departures",ST.INT.DPRT,2019,5922000
Albania,ALB,"International tourism, number of departures",ST.INT.DPRT,2020,2907000
United Arab Emirates,ARE,"International tourism, number of departures",ST.INT.DPRT,2015,17890000
United Arab Emirates,ARE,"International tourism, number of departures",ST.INT.DPRT,2016,18728000
United Arab Emirates,ARE,"International tourism, number of departures",ST.INT.DPRT,2017,18866000
United Arab Emirates,ARE,"International tourism, number of departures",ST.INT.DPRT,2018,18967000
United Arab Emirates,ARE,"International tourism, number of departures",ST.INT.DPRT,2019,18906000
United Arab Emirates,ARE,"International tourism, number of departures",ST.INT.DPRT,2020,6458000
Argentina,ARG,"International tourism, number of departures",ST.INT.DPRT,2004,4436000
Argentina,ARG,"International tourism, number of departures",ST.INT.DPRT,2005,4481000
Argentina,ARG,"International tourism, number of departures",ST.INT.DPRT,2006,4533000
Argentina,ARG,"International tourism, number of departures",ST.INT.DPRT,2007,4928000
Argentina,ARG,"International tourism, number of departures",ST.INT.DPRT,2008,5425000
Argentina,ARG,"International tourism, number of departures",ST.INT.DPRT,2009,5793000
Argentina,ARG,"International tourism, number of departures",ST.INT.DPRT,2010,6083000
Argentina,ARG,"International tourism, number of departures",ST.INT.DPRT,2011,7676000
Argentina,ARG,"International tourism, number of departures",ST.INT.DPRT,2012,8295000
Argentina,ARG,"International tourism, number of departures",ST.INT.DPRT,2013,9844000
Argentina,ARG,"International tourism, number of departures",ST.INT.DPRT,2014,10022000
Argentina,ARG,"International tourism, number of departures",ST.INT.DPRT,2015,13159000
Argentina,ARG,"International tourism, number of departures",ST.INT.DPRT,2016,18645000
Argentina,ARG,"International tourism, number of departures",ST.INT.DPRT,2017,21583000
Argentina,ARG,"International tourism, number of departures",ST.INT.DPRT,2018,18411000
Argentina,ARG,"International tourism, number of departures",ST.INT.DPRT,2019,15352000
Armenia,ARM,"International tourism, number of departures",ST.INT.DPRT,2000,111000
Armenia,ARM,"International tourism, number of departures",ST.INT.DPRT,2001,110000
Armenia,ARM,"International tourism, number of departures",ST.INT.DPRT,2002,131000
Armenia,ARM,"International tourism, number of departures",ST.INT.DPRT,2003,169000
Armenia,ARM,"International tourism, number of departures",ST.INT.DPRT,2004,221000
Armenia,ARM,"International tourism, number of departures",ST.INT.DPRT,2005,269000
Armenia,ARM,"International tourism, number of departures",ST.INT.DPRT,2006,329000
Armenia,ARM,"International tourism, number of departures",ST.INT.DPRT,2007,468000
Armenia,ARM,"International tourism, number of departures",ST.INT.DPRT,2008,516000
Armenia,ARM,"International tourism, number of departures",ST.INT.DPRT,2009,526000
Armenia,ARM,"International tourism, number of departures",ST.INT.DPRT,2010,563000
Armenia,ARM,"International tourism, number of departures",ST.INT.DPRT,2011,715000
Armenia,ARM,"International tourism, number of departures",ST.INT.DPRT,2012,965000
Armenia,ARM,"International tourism, number of departures",ST.INT.DPRT,2013,1083000
Armenia,ARM,"International tourism, number of departures",ST.INT.DPRT,2014,1198000
Armenia,ARM,"International tourism, number of departures",ST.INT.DPRT,2015,1187000
Armenia,ARM,"International tourism, number of departures",ST.INT.DPRT,2016,1263000
Armenia,ARM,"International tourism, number of departures",ST.INT.DPRT,2017,1482000
Armenia,ARM,"International tourism, number of departures",ST.INT.DPRT,2018,1623000
Armenia,ARM,"International tourism, number of departures",ST.INT.DPRT,2019,1868000
Armenia,ARM,"International tourism, number of departures",ST.INT.DPRT,2020,346000
Australia,AUS,"International tourism, number of departures",ST.INT.DPRT,1995,2519000
Australia,AUS,"International tourism, number of departures",ST.INT.DPRT,1996,2732000
Australia,AUS,"International tourism, number of departures",ST.INT.DPRT,1997,2933000
Australia,AUS,"International tourism, number of departures",ST.INT.DPRT,1998,3161000
Australia,AUS,"International tourism, number of departures",ST.INT.DPRT,1999,3210000
Australia,AUS,"International tourism, number of departures",ST.INT.DPRT,2000,3498000
Australia,AUS,"International tourism, number of departures",ST.INT.DPRT,2001,3443000
Australia,AUS,"International tourism, number of departures",ST.INT.DPRT,2002,3461000
Australia,AUS,"International tourism, number of departures",ST.INT.DPRT,2003,3388000
Australia,AUS,"International tourism, number of departures",ST.INT.DPRT,2004,4369000
Australia,AUS,"International tourism, number of departures",ST.INT.DPRT,2005,4756000
Australia,AUS,"International tourism, number of departures",ST.INT.DPRT,2006,4941000
Australia,AUS,"International tourism, number of departures",ST.INT.DPRT,2007,5462000
Australia,AUS,"International tourism, number of departures",ST.INT.DPRT,2008,5808000
Australia,AUS,"International tourism, number of departures",ST.INT.DPRT,2009,6276000
Australia,AUS,"International tourism, number of departures",ST.INT.DPRT,2010,7103000
Australia,AUS,"International tourism, number of departures",ST.INT.DPRT,2011,7788000
Australia,AUS,"International tourism, number of departures",ST.INT.DPRT,2012,8212000
Australia,AUS,"International tourism, number of departures",ST.INT.DPRT,2013,9052000
Australia,AUS,"International tourism, number of departures",ST.INT.DPRT,2014,9480000
Australia,AUS,"International tourism, number of departures",ST.INT.DPRT,2015,9810000
Australia,AUS,"International tourism, number of departures",ST.INT.DPRT,2016,10390000
Australia,AUS,"International tourism, number of departures",ST.INT.DPRT,2017,10932000
Australia,AUS,"International tourism, number of departures",ST.INT.DPRT,2018,11403000
Australia,AUS,"International tourism, number of departures",ST.INT.DPRT,2019,11624000
Australia,AUS,"International tourism, number of departures",ST.INT.DPRT,2020,2832000
Austria,AUT,"International tourism, number of departures",ST.INT.DPRT,2000,7528000
Austria,AUT,"International tourism, number of departures",ST.INT.DPRT,2001,8350000
Austria,AUT,"International tourism, number of departures",ST.INT.DPRT,2002,8266000
Austria,AUT,"International tourism, number of departures",ST.INT.DPRT,2003,8384000
Austria,AUT,"International tourism, number of departures",ST.INT.DPRT,2004,8371000
Austria,AUT,"International tourism, number of departures",ST.INT.DPRT,2005,8206000
Austria,AUT,"International tourism, number of departures",ST.INT.DPRT,2006,10042000
Austria,AUT,"International tourism, number of departures",ST.INT.DPRT,2007,9876000
Austria,AUT,"International tourism, number of departures",ST.INT.DPRT,2008,9677000
Austria,AUT,"International tourism, number of departures",ST.INT.DPRT,2009,10121000
Austria,AUT,"International tourism, number of departures",ST.INT.DPRT,2010,9882000
Austria,AUT,"International tourism, number of departures",ST.INT.DPRT,2011,9874000
Austria,AUT,"International tourism, number of departures",ST.INT.DPRT,2012,10960000
Austria,AUT,"International tourism, number of departures",ST.INT.DPRT,2013,10671000
Austria,AUT,"International tourism, number of departures",ST.INT.DPRT,2014,10994000
Austria,AUT,"International tourism, number of departures",ST.INT.DPRT,2015,10628000
Austria,AUT,"International tourism, number of departures",ST.INT.DPRT,2016,11534000
Austria,AUT,"International tourism, number of departures",ST.INT.DPRT,2017,11491000
Austria,AUT,"International tourism, number of departures",ST.INT.DPRT,2018,11043000
Austria,AUT,"International tourism, number of departures",ST.INT.DPRT,2019,11902000
Austria,AUT,"International tourism, number of departures",ST.INT.DPRT,2020,3964000
Azerbaijan,AZE,"International tourism, number of departures",ST.INT.DPRT,1996,432000
Azerbaijan,AZE,"International tourism, number of departures",ST.INT.DPRT,1997,654000
Azerbaijan,AZE,"International tourism, number of departures",ST.INT.DPRT,1998,1146000
Azerbaijan,AZE,"International tourism, number of departures",ST.INT.DPRT,1999,1204000
Azerbaijan,AZE,"International tourism, number of departures",ST.INT.DPRT,2000,1326000
Azerbaijan,AZE,"International tourism, number of departures",ST.INT.DPRT,2001,1130000
Azerbaijan,AZE,"International tourism, number of departures",ST.INT.DPRT,2002,1141000
Azerbaijan,AZE,"International tourism, number of departures",ST.INT.DPRT,2003,1475000
Azerbaijan,AZE,"International tourism, number of departures",ST.INT.DPRT,2004,1473000
Azerbaijan,AZE,"International tourism, number of departures",ST.INT.DPRT,2005,1830000
Azerbaijan,AZE,"International tourism, number of departures",ST.INT.DPRT,2006,1836000
Azerbaijan,AZE,"International tourism, number of departures",ST.INT.DPRT,2007,1631000
Azerbaijan,AZE,"International tourism, number of departures",ST.INT.DPRT,2008,2162000
Azerbaijan,AZE,"International tourism, number of departures",ST.INT.DPRT,2009,2363000
Azerbaijan,AZE,"International tourism, number of departures",ST.INT.DPRT,2010,3176000
Azerbaijan,AZE,"International tourism, number of departures",ST.INT.DPRT,2011,3550000
Azerbaijan,AZE,"International tourism, number of departures",ST.INT.DPRT,2012,3874000
Azerbaijan,AZE,"International tourism, number of departures",ST.INT.DPRT,2013,4285000
Azerbaijan,AZE,"International tourism, number of departures",ST.INT.DPRT,2014,4244000
Azerbaijan,AZE,"International tourism, number of departures",ST.INT.DPRT,2015,4096000
Azerbaijan,AZE,"International tourism, number of departures",ST.INT.DPRT,2016,4282000
Azerbaijan,AZE,"International tourism, number of departures",ST.INT.DPRT,2017,4109000
Azerbaijan,AZE,"International tourism, number of departures",ST.INT.DPRT,2018,4908000
Azerbaijan,AZE,"International tourism, number of departures",ST.INT.DPRT,2019,5568000
Azerbaijan,AZE,"International tourism, number of departures",ST.INT.DPRT,2020,1165000
Burundi,BDI,"International tourism, number of departures",ST.INT.DPRT,1995,36000
Burundi,BDI,"International tourism, number of departures",ST.INT.DPRT,1996,35000
Burundi,BDI,"International tourism, number of departures",ST.INT.DPRT,1997,10000
Burundi,BDI,"International tourism, number of departures",ST.INT.DPRT,1998,16000
Burundi,BDI,"International tourism, number of departures",ST.INT.DPRT,1999,27000
Burundi,BDI,"International tourism, number of departures",ST.INT.DPRT,2000,28000
Burundi,BDI,"International tourism, number of departures",ST.INT.DPRT,2001,35000
Belgium,BEL,"International tourism, number of departures",ST.INT.DPRT,1996,5645000
Belgium,BEL,"International tourism, number of departures",ST.INT.DPRT,1997,7548000
Belgium,BEL,"International tourism, number of departures",ST.INT.DPRT,1998,7776000
Belgium,BEL,"International tourism, number of departures",ST.INT.DPRT,1999,6410000
Belgium,BEL,"International tourism, number of departures",ST.INT.DPRT,2000,7932000
Belgium,BEL,"International tourism, number of departures",ST.INT.DPRT,2001,6570000
Belgium,BEL,"International tourism, number of departures",ST.INT.DPRT,2002,6773000
Belgium,BEL,"International tourism, number of departures",ST.INT.DPRT,2003,7268000
Belgium,BEL,"International tourism, number of departures",ST.INT.DPRT,2004,8783000
Belgium,BEL,"International tourism, number of departures",ST.INT.DPRT,2005,9327000
Belgium,BEL,"International tourism, number of departures",ST.INT.DPRT,2006,7852000
Belgium,BEL,"International tourism, number of departures",ST.INT.DPRT,2007,8371000
Belgium,BEL,"International tourism, number of departures",ST.INT.DPRT,2008,8887000
Belgium,BEL,"International tourism, number of departures",ST.INT.DPRT,2009,8775000
Belgium,BEL,"International tourism, number of departures",ST.INT.DPRT,2010,8801000
Belgium,BEL,"International tourism, number of departures",ST.INT.DPRT,2011,9727000
Belgium,BEL,"International tourism, number of departures",ST.INT.DPRT,2012,9576000
Belgium,BEL,"International tourism, number of departures",ST.INT.DPRT,2013,10803000
Belgium,BEL,"International tourism, number of departures",ST.INT.DPRT,2014,10991000
Belgium,BEL,"International tourism, number of departures",ST.INT.DPRT,2015,10835000
Belgium,BEL,"International tourism, number of departures",ST.INT.DPRT,2016,13372000
Belgium,BEL,"International tourism, number of departures",ST.INT.DPRT,2017,12142000
Belgium,BEL,"International tourism, number of departures",ST.INT.DPRT,2018,13098000
Belgium,BEL,"International tourism, number of departures",ST.INT.DPRT,2019,14191000
Belgium,BEL,"International tourism, number of departures",ST.INT.DPRT,2020,5850000
Bangladesh,BGD,"International tourism, number of departures",ST.INT.DPRT,1995,830000
Bangladesh,BGD,"International tourism, number of departures",ST.INT.DPRT,1996,911000
Bangladesh,BGD,"International tourism, number of departures",ST.INT.DPRT,1997,866000
Bangladesh,BGD,"International tourism, number of departures",ST.INT.DPRT,1998,992000
Bangladesh,BGD,"International tourism, number of departures",ST.INT.DPRT,1999,1103000
Bangladesh,BGD,"International tourism, number of departures",ST.INT.DPRT,2000,1128000
Bangladesh,BGD,"International tourism, number of departures",ST.INT.DPRT,2001,1075000
Bangladesh,BGD,"International tourism, number of departures",ST.INT.DPRT,2002,1158000
Bangladesh,BGD,"International tourism, number of departures",ST.INT.DPRT,2003,1414000
Bangladesh,BGD,"International tourism, number of departures",ST.INT.DPRT,2004,1565000
Bangladesh,BGD,"International tourism, number of departures",ST.INT.DPRT,2005,1767000
Bangladesh,BGD,"International tourism, number of departures",ST.INT.DPRT,2006,1819000
Bangladesh,BGD,"International tourism, number of departures",ST.INT.DPRT,2007,2327000
Bangladesh,BGD,"International tourism, number of departures",ST.INT.DPRT,2008,875000
Bangladesh,BGD,"International tourism, number of departures",ST.INT.DPRT,2009,2254000
Bangladesh,BGD,"International tourism, number of departures",ST.INT.DPRT,2010,1913000
Bangladesh,BGD,"International tourism, number of departures",ST.INT.DPRT,2011,2127000
Bangladesh,BGD,"International tourism, number of departures",ST.INT.DPRT,2012,2273000
Bangladesh,BGD,"International tourism, number of departures",ST.INT.DPRT,2013,1460000
Bulgaria,BGR,"International tourism, number of departures",ST.INT.DPRT,1995,3524000
Bulgaria,BGR,"International tourism, number of departures",ST.INT.DPRT,1996,3006000
Bulgaria,BGR,"International tourism, number of departures",ST.INT.DPRT,1997,3059000
Bulgaria,BGR,"International tourism, number of departures",ST.INT.DPRT,1998,2592000
Bulgaria,BGR,"International tourism, number of departures",ST.INT.DPRT,1999,2376000
